epoch,total,rec,kl,beta
353,119.863790,114.485461,5.378329,1.0000
354,119.921599,114.432175,5.489424,1.0000
355,119.807980,114.412318,5.395662,1.0000
356,119.778525,114.331054,5.447471,1.0000
357,119.874378,114.459560,5.414817,1.0000
358,119.849877,114.439686,5.410191,1.0000
359,119.801360,114.358093,5.443267,1.0000
360,120.019785,114.600016,5.419769,1.0000
361,119.906019,114.495062,5.410956,1.0000
362,119.921342,114.433713,5.487629,1.0000
363,119.748076,114.355576,5.392500,1.0000
364,119.712412,114.212787,5.499625,1.0000
365,119.895523,114.503053,5.392470,1.0000
366,119.770094,114.372792,5.397303,1.0000
367,119.807273,114.283829,5.523443,1.0000
368,119.632505,114.160443,5.472062,1.0000
369,119.609232,114.152163,5.457069,1.0000
370,119.738946,114.316742,5.422204,1.0000
371,119.878786,114.371262,5.507523,1.0000
372,119.677618,114.229161,5.448457,1.0000
373,119.617414,114.154633,5.462781,1.0000
374,119.742451,114.331415,5.411036,1.0000
375,119.767727,114.394175,5.373551,1.0000
376,119.741895,114.223039,5.518856,1.0000
377,119.682643,114.194916,5.487728,1.0000
378,119.615241,114.164053,5.451188,1.0000
379,119.691793,114.251049,5.440744,1.0000
380,119.726680,114.251806,5.474874,1.0000
381,119.674625,114.164573,5.510053,1.0000
382,119.636722,114.222532,5.414189,1.0000
383,119.584458,114.075840,5.508618,1.0000
384,119.555295,114.051613,5.503681,1.0000
385,119.836754,114.324063,5.512691,1.0000
386,119.617343,114.120063,5.497280,1.0000
387,119.520270,114.079615,5.440655,1.0000
388,119.551069,114.009054,5.542015,1.0000
389,119.632039,114.232647,5.399392,1.0000
390,119.663178,114.118759,5.544419,1.0000
391,119.637831,114.161528,5.476303,1.0000
392,119.575062,114.110901,5.464161,1.0000
393,119.480660,113.972284,5.508375,1.0000
394,119.478173,114.039579,5.438594,1.0000
395,119.488872,113.969968,5.518904,1.0000
396,119.527876,114.057074,5.470802,1.0000
397,119.595827,114.106090,5.489738,1.0000
398,119.422684,113.980804,5.441881,1.0000
399,119.489175,114.065325,5.423850,1.0000
400,119.584168,114.060935,5.523233,1.0000
401,119.475637,113.953176,5.522462,1.0000
402,119.486009,114.081783,5.404226,1.0000
403,119.513899,113.953596,5.560303,1.0000
404,119.275083,113.775981,5.499103,1.0000
405,119.302389,113.811804,5.490585,1.0000
406,119.399487,113.894906,5.504581,1.0000
407,119.581450,114.065882,5.515568,1.0000
408,119.420641,113.926011,5.494630,1.0000
409,119.657374,114.110787,5.546587,1.0000
410,119.513210,114.065694,5.447516,1.0000
411,119.503534,113.928495,5.575039,1.0000
412,119.361478,113.875608,5.485870,1.0000
413,119.354659,113.842851,5.511808,1.0000
414,119.536264,114.048720,5.487544,1.0000
415,119.295409,113.764563,5.530846,1.0000
416,119.343281,113.785912,5.557369,1.0000
417,119.321154,113.772967,5.548188,1.0000
418,119.329738,113.809339,5.520399,1.0000
419,119.394290,113.750325,5.643965,1.0000
420,119.273118,113.847117,5.426001,1.0000
421,119.407861,113.928347,5.479514,1.0000
422,119.543000,114.018509,5.524491,1.0000
423,119.348058,113.775552,5.572506,1.0000
424,119.324197,113.748848,5.575349,1.0000
425,119.150946,113.640723,5.510223,1.0000
426,119.302520,113.667896,5.634624,1.0000
427,119.217316,113.706357,5.510959,1.0000
